# COMSOL wave_based_room listening point golden
# table,tbl1
# expression,pate.p_t and pate.p_t/(1[m/s]*pate.Z)
# pressure_unit,Pa
# normalized_unit,1
# receiver_point_ids,122,121,53,35
# receiver_coordinate_unit,m
# receiver_coordinate,122,1.2,1.3125,1
# receiver_coordinate,121,0.20000000000000001,0.875,1
# receiver_coordinate,53,-0.80000000000000004,0.4375,1
# receiver_coordinate,35,-1.8,0,1
time,p122,p121,p53,p35,pn122,pn121,pn53,pn35
9.7385664401333121e-05,1.7060898124101516e-54,1.7053363996448592e-42,3.0700264161822411e-30,-1.4757744940090736e-19,4.1450189805883183e-57,4.1431885316930498e-45,7.4587619440773599e-33,-3.5854579543466321e-22
9.976092450868271e-05,3.3595441999722292e-54,2.6002887060548883e-42,2.8278007207321546e-30,-1.7675601373505034e-19,8.1621579202435125e-57,6.3175138631071151e-45,6.8702641417204923e-33,-4.2943637933685706e-22
0.0001021361846160323,6.4033011894764963e-54,3.7961099337922624e-42,1.8633187668754816e-30,-1.9559383271349063e-19,1.5557097156162528e-56,9.2228132502241568e-45,4.5270135249647278e-33,-4.7520367520284413e-22
0.00010451144472338189,1.1818539702564505e-53,5.2788479330695237e-42,-1.6744505098492888e-31,-1.9635699808172194e-19,2.8713653310409394e-56,1.2825189341762693e-44,-4.0681499267475434e-34,-4.7705781846871226e-22
0.00010688670483073148,2.1127530638596793e-53,6.932327281622102e-42,-3.6404831728371377e-30,-1.7046299183133879e-19,5.1330249364909611e-56,1.6842388925223766e-44,-8.8447113042690429e-33,-4.1414721047458404e-22
0.00010926196493808107,3.6578670796659839e-53,8.4652035635931494e-42,-8.9120332933106919e-30,-1.093647677683387e-19,8.8869462576918956e-56,2.0566578142840502e-44,-2.1652170294729575e-32,-2.6570643286768393e-22
0.00011163722504543066,6.1309035779812998e-53,9.3164134708286371e-42,-1.6239215656816898e-29,-5.7632105301016569e-21,1.4895295378963315e-55,2.2634629423781918e-44,-3.9453876717242222e-32,-1.4001969217934055e-23
0.00011401248515278025,9.9397132550672428e-53,8.5454114030311675e-42,-2.5672451496495782e-29,1.4490999805208104e-19,2.4148963204730913e-55,2.0761446557412945e-44,-6.2372331138230763e-32,3.5206510702643601e-22
0.00011638774526012984,1.556529923707827e-52,4.7231638092266057e-42,-3.6924090471608821e-29,3.428525141933221e-19,3.7816567631385499e-55,1.1475130731843066e-44,-8.9708674615181789e-32,8.3297501018785744e-22
0.00011876300536747942,2.3490581203921155e-52,-4.147101238392165e-42,-4.9224297342425083e-29,5.8226327148571395e-19,5.7071382905542169e-55,-1.007556180367387e-44,-1.1959255914097446e-31,1.4146337985561564e-21
