% Model:              porous_absorber_time_domain.zh_CN.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jul 12 2026, 16:59
% Table:              表格 1 - 
% 时间 (s)                 总声压
0.005                    -6.266638937659235E-10
0.005025000000000001     -7.465538527907792E-8
0.005050000000000001     -2.1540972827841784E-7
0.0050750000000000005    -3.8363023283150535E-7
0.005100000000000001     -7.493141515154814E-7
0.005125000000000001     -2.0222325696208343E-6
0.005150000000000001     -5.8305918711474316E-6
0.005175000000000001     -1.5358362430547692E-5
0.005200000000000001     -3.686264876836513E-5
0.0052250000000000005    -8.288730120291537E-5
0.005250000000000001     -1.775657332146327E-4
0.005275000000000001     -3.639033462139279E-4
0.005300000000000001     -7.121854871465488E-4
0.005325000000000001     -0.0013283250094914408
0.005350000000000001     -0.002361124982571017
0.0053750000000000004    -0.004004663489990534
0.005400000000000001     -0.006489530555410705
0.005425000000000001     -0.01005176217714551
0.005450000000000001     -0.014867827573457119
0.005475000000000001     -0.020951352151256996
0.0055000000000000005    -0.02802592437215698
0.005525                 -0.03541514336363502
0.005550000000000001     -0.04200567455094026
0.005575000000000001     -0.04635129073313741
0.005600000000000001     -0.046942572798735156
0.005625000000000001     -0.04261827776159877
0.0056500000000000005    -0.033013311509632354
0.005675000000000001     -0.01890003561366792
0.005700000000000001     -0.002260220273887637
0.005725000000000001     0.013999050615561292
0.005750000000000001     0.02665715494868971
0.005775000000000001     0.03298049356277844
0.005800000000000001     0.03146715664546442
0.005825000000000001     0.02230501998626929
0.005850000000000001     0.007369310285929929
0.005875000000000001     -0.010226545639667664
0.005900000000000001     -0.02691463647737624
0.005925000000000001     -0.03952986080703596
0.00595                  -0.04600331602149524
0.005975000000000001     -0.04570056952760747
0.006000000000000001     -0.039365538875515485
0.006025000000000001     -0.028737680907262524
0.006050000000000001     -0.01599828856314174
0.0060750000000000005    -0.0032307881726742205
0.006100000000000001     0.00797553246769903
0.006125000000000001     0.016706138738685393
0.006150000000000001     0.022701094924584456
0.006175000000000001     0.026183947692050496
0.006200000000000001     0.027630542059366343
0.006225000000000001     0.027547026841142734
0.00625                  0.026313949083708384
0.006275000000000001     0.0241200360048291
0.006300000000000001     0.0209869885956429
0.006325000000000001     0.016861224172318265
0.006350000000000001     0.011737650396992387
0.0063750000000000005    0.005773343272055167
0.006400000000000001     -6.462472547159308E-4
0.006425000000000001     -0.006914376094330738
0.006450000000000001     -0.012288592988822454
0.006475000000000001     -0.016035457749205
0.006500000000000001     -0.0175994633382855
0.006525000000000001     -0.016748580477671724
0.006550000000000001     -0.01365792336673027
0.006575000000000001     -0.00890180578650842
0.006600000000000001     -0.0033586671517303454
0.006625000000000001     0.0019545615583710374
0.006650000000000001     0.006077195475768328
0.006675                 0.008286172481117264
0.006700000000000001     0.008222965570261066
0.006725000000000001     0.005942391971817362
0.006750000000000001     0.0018777961999948268
0.006775000000000001     -0.003267919245501161
0.0068000000000000005    -0.00867209473506617
0.006825000000000001     -0.013551583631400733
0.006850000000000001     -0.017293832215801802
0.006875000000000001     -0.019538187059571478
0.006900000000000001     -0.020194590885004186
0.006925000000000001     -0.019408976531702607
0.006950000000000001     -0.017492173927061545
0.006975000000000001     -0.014834604065598483
0.007000000000000001     -0.011829466617467409
0.007025000000000001     -0.008816475351166293
0.007050000000000001     -0.006051782330848514
0.007075000000000001     -0.003699706480239171
0.0071                   -0.001840183333381966
0.007125000000000001     -4.8276744427958333E-4
0.007150000000000001     4.1761592046158047E-4
0.007175000000000001     9.451614046687007E-4
0.0072000000000000015    0.001208170633130027
0.0072250000000000005    0.0013227729958449979
0.007250000000000001     0.001395939102223839
0.007275000000000001     0.001509368013819684
0.007300000000000001     0.0017079257626195076
0.007325000000000001     0.001995671572432922
0.007350000000000001     0.0023413125987034994
0.007375000000000001     0.002692067769274851
0.0074                   0.002991790268122253
0.007425000000000001     0.0031983733060752285
0.007450000000000001     0.003295164285146047
0.007475000000000001     0.003293829099966347
0.0075000000000000015    0.0032283826504197854
